Name,description,extrude,Latitude,Longitude
cctv e11(1),,0,-7.0505689,110.4012532
cctv e11 (2),,0,-7.0505724,110.4012487
cctv e11 (3),,0,-7.0505781,110.4012472
cctv pos satpam doraemon,,0,-7.0533401,110.4007669
pos satpam ft,,0,-7.0517066,110.4009545
satpam ft2,,0,-7.0517351,110.4009388
satpam ft3,,0,-7.0517348,110.4009462
masjid ft1,,0,-7.051685,110.4015217
mesjid ft2,,0,-7.0517484,110.4015557
e5 1,,0,-7.0523016,110.4022578
e5 2,,0,-7.0523027,110.4022687
pkk 1,,0,-7.0525441,110.4027366
pkk 2,,0,-7.0526305,110.403069
pkk 3,,0,-7.0526748,110.4031203
pkk 4,,0,-7.0526449,110.4030799
pkk 5,,0,-7.0524223,110.4031913
pkk 6,,0,-7.0524274,110.4031854
pkk 7,,0,-7.0522655,110.4029235
pkk8,,0,-7.0522668,110.4029294
e8 1,,0,-7.0516637,110.4031508
e6 1,,0,-7.0514562,110.4028958
e6 2,,0,-7.051162,110.4024132
e6 3,,0,-7.0511627,110.4024237
e11 4,,0,-7.0509464,110.4017071
e1 1,,0,-7.0512255,110.4013368
dekanat ft,,0,-7.0517788,110.402006
dekanat fik,,0,-7.0509184,110.3996915
fik 1,,0,-7.050723,110.3990771
fik2,,0,-7.0507151,110.3989733
fik 3,,0,-7.0507255,110.3989867
fe 1,,0,-7.0498479,110.3978895
fe 2,,0,-7.0498552,110.3978904
fe 3,,0,-7.0498517,110.3978851
pom 1,,0,-7.0491589,110.397543
pom 2,,0,-7.0491598,110.3975507
fip 1,,0,-7.0485753,110.397033
Titik 37,,0,-7.0487091,110.3961344
simpanng 7 1,,0,-7.0488761,110.3952936
pos,,0,-7.0487178,110.3960781
pos barat 1,,0,-7.0494761,110.3950008
pos barat 2,,0,-7.0494176,110.3949723
kwu 1,,0,-7.0494072,110.3948526
Titik 43,,0,-7.049714,110.3931135
Titik 44,,0,-7.0497109,110.3930958
Titik 45,,0,-7.0498215,110.3931129
mapala,,0,-7.0517315,110.391226
mapala 2,,0,-7.0517502,110.3911762
parkiran barat,,0,-7.0503272,110.3907197
parkiran barat 2,,0,-7.0503774,110.390733
lptk,,0,-7.0493785,110.3902741
lptk 2,,0,-7.0494099,110.3903453
gu 1,,0,-7.048935,110.3897514
gu 2,,0,-7.0489538,110.3897902
gu 3,,0,-7.0486709,110.3898392
gu 4,,0,-7.0487151,110.3898686
Titik 56,gu 5,0,-7.0488803,110.39005
gu 6,,0,-7.0488893,110.3900928
Titik 58,,0,-7.0491115,110.3917788
Titik 59,,0,-7.049225,110.3917903
Titik 60,,0,-7.0489792,110.3927089
Titik 61,,0,-7.0490674,110.3927485
Titik 62,,0,-7.0491234,110.3918732
Titik 63,,0,-7.0490153,110.3929083
Titik 64,,0,-7.0487035,110.3948445
